stim,estimate,RT
2,69.9166666666667,2.06855507264117
3,40.0833333333333,6.46255440294044
4,33.5833333333333,3.29372601663636
2,94.75,2.13577928607992
1,65.1666666666667,1.5270698559907
3,55.4166666666667,1.9691708516184
4,25,1.72258513414999
1,64,1.82371931528905
2,89.9166666666667,1.74915356584825
4,26.9166666666667,1.75957121701504
3,47.6666666666667,1.53209607332246
2,90,2.69503609185631
1,65.25,2.7163726046565
3,55.3333333333333,1.97466363944113
1,65.1666666666667,1.77579084983154
4,25.9166666666667,2.55936714052223
2,89.9166666666667,2.60302291497646
4,24.75,4.94088453384757
3,48.0833333333333,2.65755264740437
2,78.3333333333333,2.07816274714423
1,50,1.72161008305557
3,49.8333333333333,1.85015902313171
1,42.5833333333333,1.80270311533241
2,80.0833333333333,1.93129396550648
4,26.3333333333333,2.22277736461547
3,46.75,1.54317316693778
1,57.0833333333333,1.59242008964065
4,21.9166666666667,2.15336356277112
2,81.0833333333333,1.91841345501598
1,41.3333333333333,1.89352142695861
2,74,1.97284739295719
4,25.75,1.93628682581766
3,59.6666666666667,1.50435202082735
2,70.3333333333333,4.521001873552
3,39.75,6.57047032102673
1,59.75,2.45274059920303
4,29.8333333333333,4.76161412010833
3,29.5833333333333,4.83478058570654
2,80.1666666666667,7.82308040023281
4,30.3333333333333,3.53475779174914
1,60,2.63649710328536
1,59.6666666666667,1.79693534598709
2,70.4166666666667,2.43982502109384
4,39.9166666666667,4.98213988647512
3,29.9166666666667,2.41441724232436
3,39.6666666666667,3.14013323132349
2,78.4166666666667,2.20208404341747
4,46.1666666666667,6.937573636671
1,84.0833333333333,4.06917688153862
4,29.0833333333333,4.20804254644008
3,44.9166666666667,2.42745170824219
2,70.0833333333333,6.06291645479996
1,75.25,1.95196376573313
2,69.8333333333333,3.40860285869621
4,24.3333333333333,5.12332258068636
3,42.75,2.26210870194609
1,71.0833333333333,1.77589348678703
1,74.4166666666667,2.65026371283238
2,66,1.59062265993089
4,23.0833333333333,2.53094611174856
3,36.25,2.36014281932603
3,43.75,1.87484534962641
1,74.8333333333333,3.6349353109199
4,22.8333333333333,1.77019970158381
2,65.25,2.26634803593515
4,42.0833333333333,17.2694959969449
2,73.5,5.75611791104711
1,59.8333333333333,2.54257316838994
3,61.0833333333333,5.23479957354357
2,73.3333333333333,5.92761143700682
1,65.25,16.6376941068002
4,41.5,2.00233712904719
3,58.5833333333333,3.23242609390672
1,65.8333333333333,3.48076733099879
4,38.3333333333333,3.20806050790725
2,75.5833333333333,4.20577255906846
3,57.0833333333333,7.33054018258281
1,63.8333333333333,1.96017172873599
3,64.8333333333333,1.76674938920314
2,72.9166666666667,2.19926794190178
4,44.6666666666667,2.97155245668
1,39.75,21.4545802889661
2,49.75,14.1475857821911
3,54.9166666666667,13.3542678871931
4,29.8333333333333,6.75233018365634
2,65.1666666666667,2.80898160443212
1,59.8333333333333,6.33701501281894
3,59.8333333333333,3.09654561899788
4,29.8333333333333,2.47849516857059
2,64.6666666666667,3.43880025744829
4,29.8333333333333,3.84607423658281
3,61.9166666666667,5.2103761864746
1,59.6666666666667,2.85157644221181
1,59.5,2.76607971056319
2,70,3.00677918262363
4,28.5,3.90113563710929
3,60.25,3.30060534525592
2,64.1666666666667,8.68420521439475
3,42.9166666666667,5.30514960431356
1,85.4166666666667,3.67609645324592
4,32.9166666666667,2.96586844913145
4,36.4166666666667,4.00942978657804
2,59.75,3.36379432373906
1,85.6666666666667,1.91814303767387
3,39.8333333333333,2.3392550682438
1,91.6666666666667,2.18275268513753
3,40.4166666666667,2.80765587479982
4,30.25,2.11755030823224
2,54.25,2.96200245046202
4,30.5833333333333,3.24318970549575
3,39.8333333333333,2.47904128364826
2,65.8333333333333,2.08539922637283
1,87.9166666666667,2.02833982299308
2,52.4166666666667,4.9890554604026
4,24.4166666666667,4.02687852681447
1,63.9166666666667,2.01844474807876
3,43.9166666666667,2.05779411418735
1,65.25,4.39428396701078
2,44.4166666666667,4.15001614396533
4,24.75,4.45766838370037
3,38.8333333333333,4.0581080127522
4,24.6666666666667,3.08700207626316
