stim,estimate,RT
4,29.5833333333333,3.77998980367556
3,49.6666666666667,2.39782406855375
2,49.9166666666667,2.98054505488835
1,60.9166666666667,1.56511529884301
1,59.9166666666667,2.46434335876256
2,53.6666666666667,1.99821200780571
4,35.25,1.615270977607
3,68,1.64873629831709
1,60.75,1.81468662549742
4,37.9166666666667,1.89880321593955
3,68.5833333333333,1.79847727110609
2,57.75,1.79872998944484
3,68,2.18153681978583
2,57.0833333333333,1.46567660360597
4,38.6666666666667,1.88147103297524
1,49.8333333333333,2.16459884867072
4,20,5.04531063209288
3,15.3333333333333,5.12831460498273
2,89.8333333333333,4.24618205521256
1,92.4166666666667,2.96353925438598
4,19.6666666666667,3.68020466901362
1,90.25,1.99784186459146
3,24.5833333333333,4.51248421869241
2,91.0833333333333,2.36475988826714
3,17.25,1.93201618269086
1,94.5,2.78080958896317
2,91.4166666666667,2.0482622962445
4,26.9166666666667,3.29716955334879
1,91.0833333333333,1.79817021638155
3,21.3333333333333,2.53112886031158
2,89.75,2.34774642949924
4,22.75,1.94809097261168
1,56,8.77629457134753
3,40,4.2131120399572
4,63.3333333333333,3.72972217015922
2,76.3333333333333,2.83120631682687
3,39.5833333333333,2.49771532323211
4,65.3333333333333,2.04861602932215
2,77.75,1.88195823621936
1,52.75,1.88189952378161
4,59.3333333333333,2.01482870220207
2,76.8333333333333,1.96528093307279
1,56.25,2.04855221137404
3,41.3333333333333,2.34755898779258
3,41.1666666666667,2.0312058061827
1,54.8333333333333,2.11420759093016
2,74.75,2.29787774849683
4,57.75,3.4634765307419
3,40.6666666666667,3.29676513094455
2,74.1666666666667,1.8148492698092
1,54.9166666666667,2.08139649382792
4,44.5,3.03070511016995
3,45.0833333333333,2.61438737460412
1,49,1.78157649631612
2,72.5,1.99835021886975
4,63.3333333333333,4.39622898842208
1,52.5,4.06294841109775
2,67.25,3.2801480719354
3,46.4166666666667,3.63025685376488
4,52.75,1.74860749579966
2,72.9166666666667,1.88154943753034
4,57.5,2.74760975013487
1,40.75,2.21517718373798
3,48.6666666666667,1.36530908592977
1,69.25,5.59479713602923
2,45.3333333333333,5.81155007216148
4,23.5833333333333,1.84803233318962
3,56.4166666666667,2.414466654649
1,70.1666666666667,5.87858683336526
4,22.6666666666667,1.99819887941703
2,42.3333333333333,1.7484871535562
3,55.5833333333333,2.13119661645032
4,24.25,4.19632394937798
2,54.0833333333333,20.149048458552
3,54.3333333333333,6.17821793002076
1,64.6666666666667,2.33084820769727
1,68.25,3.1309052426368
2,45.0833333333333,1.71492993528955
4,28.0833333333333,3.76357987918891
3,57,4.51277340459637
2,98.9166666666667,2.44756839633919
4,5.75,6.24410195974633
1,66.5,2.76417028484866
3,55.3333333333333,3.84646460367367
1,63.4166666666667,1.89841009816155
4,6.58333333333333,2.36453233240172
3,56.0833333333333,5.04530115076341
2,98.75,2.13142161956057
4,3,2.14795845071785
3,57.3333333333333,4.362817639485
2,99.0833333333333,2.08132829982787
1,66.3333333333333,1.79850680939853
1,64.3333333333333,1.98128424724564
2,98.9166666666667,2.01471091271378
4,4.16666666666667,1.88183534145355
3,57.1666666666667,2.86366659821942
4,39.9166666666667,2.84256847418146
3,65.75,4.73916244303109
2,53.5833333333333,2.19344073929824
1,69,3.44209315319313
3,63.0833333333333,3.87307626043912
2,41.5,2.40911076823249
4,27.75,2.42020064947428
1,69.5,1.70216374378651
1,63.75,2.033700531465
2,53.6666666666667,3.11141637252877
3,56.1666666666667,1.82689165294869
4,42.1666666666667,1.6665171412169
4,34.0833333333333,1.70965440169675
1,68.9166666666667,1.61214955418836
3,60.5833333333333,1.51306478428887
2,57.9166666666667,1.7533081616275
2,63.0833333333333,8.12579249765258
3,49,4.2189322744598
1,60,4.19616179888908
4,45.0833333333333,4.58700357305497
4,46.5833333333333,10.0215388299803
1,59.9166666666667,2.91902186812513
3,57.25,2.73761159115384
2,62,2.05036703466249
2,61.9166666666667,2.27314991222374
3,57,2.56688583971118
4,47.3333333333333,5.01930005752001
1,59.8333333333333,3.47031926563068
4,47.75,2.52655671663888
1,59.9166666666667,2.25839197548703
3,57.6666666666667,2.41157319203558
2,56.5833333333333,5.76152818137416
4,30.6666666666667,5.89527427428402
3,75.1666666666667,3.18019263492897
1,84.25,1.84826827677898
2,55.5,2.99710558960214
1,85.25,1.76506738062017
4,26.3333333333333,3.13086403463967
2,45.5,3.06372552970424
3,73.6666666666667,2.31450684159063
3,74.25,1.78151340782642
1,85.9166666666667,1.78179931174964
2,34.8333333333333,2.19789714901708
4,23.4166666666667,2.24756270740181
3,74.5,2.38123727752827
2,35.1666666666667,2.8308846752625
1,84.6666666666667,1.78180769924074
4,24.4166666666667,2.74713822780177
2,60,19.2709107121082
1,89.6666666666667,9.46836573887049
3,79.8333333333333,4.03009235203717
4,20.3333333333333,1.88884569576112
2,49.8333333333333,6.15881898872249
1,89.75,2.175509069486
4,20.1666666666667,2.85520038831237
3,69.8333333333333,2.17283622748801
4,20.0833333333333,2.28175774643023
3,70.25,2.00829136971151
2,49.75,1.66294222170836
1,90,3.29340962693459
4,19.9166666666667,2.63385913481397
3,69.0833333333333,2.32575443638052
2,49.8333333333333,2.54488428732293
1,90.0833333333333,2.75181443206384
3,30,24.4517548778676
4,29.75,2.55739211617038
1,60.0833333333333,2.61204660811927
2,59.9166666666667,1.61923302651849
1,60.0833333333333,2.22335702745477
2,60.25,1.79669588903198
3,29.5833333333333,5.71022148989141
4,29.5,2.73559470498003
1,60.25,1.59778909909073
2,59.75,1.90744505735347
3,30.1666666666667,1.62884699268034
4,28.9166666666667,1.9712794435909
4,29.6666666666667,1.69124933093553
3,30.75,1.72388608567417
1,60.0833333333333,1.59145915001864
2,60.25,1.65849972458091
1,70.75,6.644297497347
2,67.9166666666667,4.91217541345395
3,61.75,4.8460532524623
4,55.9166666666667,3.66353947343305
1,67.0833333333333,7.4435544393491
2,70,4.36273704655468
4,58.75,2.91406296147034
3,62.9166666666667,2.04832720803097
1,66.8333333333333,9.35921211657114
3,61.0833333333333,4.03002426540479
4,58.25,1.94833931536414
2,67.9166666666667,7.11029683658853
2,68.5833333333333,2.28141567553394
4,58,2.86420011497103
1,65,4.49641052260995
3,61.5,2.24779026326723
4,19.9166666666667,5.3609479602892
3,51.6666666666667,4.56214795378037
1,68.3333333333333,1.74828877137043
2,38,4.22924773045816
3,52.8333333333333,3.46318770968355
4,23.75,2.2310200415086
1,68.5833333333333,2.23127239546739
2,42.8333333333333,6.86075869505294
2,42.75,6.29430650500581
3,50.8333333333333,1.44861901947297
1,73.0833333333333,1.63213929650374
4,18.0833333333333,1.91460413648747
1,75.5833333333333,1.83147362223826
3,53.0833333333333,2.24789711274207
2,42.3333333333333,4.22925465926528
4,19.75,1.91479631909169
4,30,5.01233797043096
3,45.3333333333333,3.35895229841117
1,45.75,2.00665506074438
2,64.25,2.06662029959261
4,26.5,2.33119894034462
3,47.8333333333333,1.93216097378172
2,64.6666666666667,4.58832053106744
1,54.75,2.98155318479985
3,45.1666666666667,2.12914857891155
2,76.9166666666667,2.57734208647162
4,35.6666666666667,3.07845026091672
1,47.25,2.48664300434757
